type,object,field,message
missing,6105,bibliography1,Object is missing a required field bibliography1
unused,7316,depth,"Object description has field depth, but that field was not selected for export"
unused,8046,onview,"Object description has field onview, but that field was not selected for export"
unused,8046,width,"Object description has field width, but that field was not selected for export"
unused,8046,height,"Object description has field height, but that field was not selected for export"
missing,8046,copyright,Object is missing a required field copyright
missing,8046,classification,Object is missing a required field classification
unused,8047,onview,"Object description has field onview, but that field was not selected for export"
unused,8047,width,"Object description has field width, but that field was not selected for export"
unused,8047,height,"Object description has field height, but that field was not selected for export"
missing,8047,copyright,Object is missing a required field copyright
missing,8047,classification,Object is missing a required field classification
unused,6544,depth,"Object description has field depth, but that field was not selected for export"
missing,6544,copyright,Object is missing a required field copyright
missing,6544,bibliography1,Object is missing a required field bibliography1
unused,6970,creditline,"Object description has field creditline, but that field was not selected for export"
unused,6970,depth,"Object description has field depth, but that field was not selected for export"
unused,6970,height,"Object description has field height, but that field was not selected for export"
missing,6970,copyright,Object is missing a required field copyright
unused,7876,creditline,"Object description has field creditline, but that field was not selected for export"
unused,7876,depth,"Object description has field depth, but that field was not selected for export"
unused,7876,height,"Object description has field height, but that field was not selected for export"
missing,7876,copyright,Object is missing a required field copyright
unused,5230,onview,"Object description has field onview, but that field was not selected for export"
unused,5230,depth,"Object description has field depth, but that field was not selected for export"
missing,5230,copyright,Object is missing a required field copyright
unused,5312,depth,"Object description has field depth, but that field was not selected for export"
missing,5312,copyright,Object is missing a required field copyright
unused,5320,onview,"Object description has field onview, but that field was not selected for export"
unused,5320,depth,"Object description has field depth, but that field was not selected for export"
missing,5320,copyright,Object is missing a required field copyright
unused,5192,depth,"Object description has field depth, but that field was not selected for export"
missing,5192,copyright,Object is missing a required field copyright
unused,7010,depth,"Object description has field depth, but that field was not selected for export"
missing,7010,copyright,Object is missing a required field copyright
unused,6354,depth,"Object description has field depth, but that field was not selected for export"
missing,6354,copyright,Object is missing a required field copyright
unused,7891,creditline,"Object description has field creditline, but that field was not selected for export"
unused,7891,depth,"Object description has field depth, but that field was not selected for export"
unused,7891,height,"Object description has field height, but that field was not selected for export"
missing,7891,copyright,Object is missing a required field copyright
unused,4716,depth,"Object description has field depth, but that field was not selected for export"
missing,4716,copyright,Object is missing a required field copyright
unused,4819,onview,"Object description has field onview, but that field was not selected for export"
unused,4819,depth,"Object description has field depth, but that field was not selected for export"
missing,4819,copyright,Object is missing a required field copyright
unused,5219,onview,"Object description has field onview, but that field was not selected for export"
unused,5219,depth,"Object description has field depth, but that field was not selected for export"
missing,5219,copyright,Object is missing a required field copyright
unused,5226,onview,"Object description has field onview, but that field was not selected for export"
unused,5226,depth,"Object description has field depth, but that field was not selected for export"
unused,5226,audioTourEntries,"Object description has field audioTourEntries, but that field was not selected for export"
missing,5226,copyright,Object is missing a required field copyright
unused,5662,onview,"Object description has field onview, but that field was not selected for export"
unused,5662,depth,"Object description has field depth, but that field was not selected for export"
missing,5662,copyright,Object is missing a required field copyright
unused,5670,depth,"Object description has field depth, but that field was not selected for export"
missing,5670,copyright,Object is missing a required field copyright
unused,5003,onview,"Object description has field onview, but that field was not selected for export"
unused,5003,depth,"Object description has field depth, but that field was not selected for export"
unused,5003,audioTourEntries,"Object description has field audioTourEntries, but that field was not selected for export"
missing,5003,copyright,Object is missing a required field copyright
unused,5211,depth,"Object description has field depth, but that field was not selected for export"
missing,5211,copyright,Object is missing a required field copyright
unused,5461,depth,"Object description has field depth, but that field was not selected for export"
missing,5461,copyright,Object is missing a required field copyright
missing,5461,bibliography1,Object is missing a required field bibliography1
unused,6929,depth,"Object description has field depth, but that field was not selected for export"
missing,6929,bibliography1,Object is missing a required field bibliography1
unused,5443,depth,"Object description has field depth, but that field was not selected for export"
missing,5443,copyright,Object is missing a required field copyright
unused,5178,onview,"Object description has field onview, but that field was not selected for export"
unused,5178,depth,"Object description has field depth, but that field was not selected for export"
missing,5178,copyright,Object is missing a required field copyright
unused,5552,onview,"Object description has field onview, but that field was not selected for export"
unused,5552,depth,"Object description has field depth, but that field was not selected for export"
missing,5552,copyright,Object is missing a required field copyright
unused,5644,depth,"Object description has field depth, but that field was not selected for export"
missing,5644,copyright,Object is missing a required field copyright
unused,5176,onview,"Object description has field onview, but that field was not selected for export"
unused,5176,depth,"Object description has field depth, but that field was not selected for export"
missing,5176,copyright,Object is missing a required field copyright
unused,4765,onview,"Object description has field onview, but that field was not selected for export"
unused,4765,depth,"Object description has field depth, but that field was not selected for export"
missing,4765,copyright,Object is missing a required field copyright
unused,5000,onview,"Object description has field onview, but that field was not selected for export"
unused,5000,depth,"Object description has field depth, but that field was not selected for export"
missing,5000,copyright,Object is missing a required field copyright
unused,5215,onview,"Object description has field onview, but that field was not selected for export"
unused,5215,depth,"Object description has field depth, but that field was not selected for export"
unused,4709,onview,"Object description has field onview, but that field was not selected for export"
unused,4709,depth,"Object description has field depth, but that field was not selected for export"
unused,7312,width,"Object description has field width, but that field was not selected for export"
unused,7312,height,"Object description has field height, but that field was not selected for export"
missing,7312,copyright,Object is missing a required field copyright
missing,7312,classification,Object is missing a required field classification
missing,7312,bibliography1,Object is missing a required field bibliography1
unused,7313,depth,"Object description has field depth, but that field was not selected for export"
unused,7313,height,"Object description has field height, but that field was not selected for export"
missing,7313,copyright,Object is missing a required field copyright
missing,7313,classification,Object is missing a required field classification
missing,7313,bibliography1,Object is missing a required field bibliography1
unused,5323,depth,"Object description has field depth, but that field was not selected for export"
unused,5323,audioTourEntries,"Object description has field audioTourEntries, but that field was not selected for export"
missing,5323,copyright,Object is missing a required field copyright
unused,6921,depth,"Object description has field depth, but that field was not selected for export"
unused,6921,height,"Object description has field height, but that field was not selected for export"
missing,6921,copyright,Object is missing a required field copyright
unused,6483,depth,"Object description has field depth, but that field was not selected for export"
unused,6483,height,"Object description has field height, but that field was not selected for export"
missing,6483,copyright,Object is missing a required field copyright
missing,6483,bibliography1,Object is missing a required field bibliography1
unused,5713,depth,"Object description has field depth, but that field was not selected for export"
unused,5713,height,"Object description has field height, but that field was not selected for export"
missing,5713,copyright,Object is missing a required field copyright
missing,5713,bibliography1,Object is missing a required field bibliography1
unused,3193,depth,"Object description has field depth, but that field was not selected for export"
missing,3193,copyright,Object is missing a required field copyright
unused,3192,depth,"Object description has field depth, but that field was not selected for export"
missing,3192,copyright,Object is missing a required field copyright
unused,6520,depth,"Object description has field depth, but that field was not selected for export"
missing,6520,copyright,Object is missing a required field copyright
unused,6907,depth,"Object description has field depth, but that field was not selected for export"
missing,6907,copyright,Object is missing a required field copyright
unused,6915,depth,"Object description has field depth, but that field was not selected for export"
missing,6915,copyright,Object is missing a required field copyright
unused,6954,depth,"Object description has field depth, but that field was not selected for export"
missing,6954,copyright,Object is missing a required field copyright
unused,6952,depth,"Object description has field depth, but that field was not selected for export"
missing,6952,copyright,Object is missing a required field copyright
unused,6914,depth,"Object description has field depth, but that field was not selected for export"
missing,6914,copyright,Object is missing a required field copyright
unused,7355,depth,"Object description has field depth, but that field was not selected for export"
missing,7355,copyright,Object is missing a required field copyright
unused,5541,onview,"Object description has field onview, but that field was not selected for export"
unused,5541,depth,"Object description has field depth, but that field was not selected for export"
unused,5541,height,"Object description has field height, but that field was not selected for export"
missing,5541,copyright,Object is missing a required field copyright
missing,5541,bibliography1,Object is missing a required field bibliography1
unused,5542,onview,"Object description has field onview, but that field was not selected for export"
unused,5542,depth,"Object description has field depth, but that field was not selected for export"
unused,5542,height,"Object description has field height, but that field was not selected for export"
missing,5542,copyright,Object is missing a required field copyright
missing,5542,bibliography1,Object is missing a required field bibliography1
unused,5544,depth,"Object description has field depth, but that field was not selected for export"
unused,5544,onview,"Object description has field onview, but that field was not selected for export"
missing,5544,primaryMedia,Object is missing a required field primaryMedia
missing,5544,copyright,Object is missing a required field copyright
missing,5544,bibliography1,Object is missing a required field bibliography1
unused,5545,onview,"Object description has field onview, but that field was not selected for export"
unused,5545,depth,"Object description has field depth, but that field was not selected for export"
missing,5545,copyright,Object is missing a required field copyright
missing,5545,bibliography1,Object is missing a required field bibliography1
unused,4820,onview,"Object description has field onview, but that field was not selected for export"
unused,4820,depth,"Object description has field depth, but that field was not selected for export"
missing,4820,copyright,Object is missing a required field copyright
unused,5018,depth,"Object description has field depth, but that field was not selected for export"
missing,5018,copyright,Object is missing a required field copyright
unused,6567,depth,"Object description has field depth, but that field was not selected for export"
missing,6567,copyright,Object is missing a required field copyright
unused,6570,depth,"Object description has field depth, but that field was not selected for export"
missing,6570,copyright,Object is missing a required field copyright
unused,8071,depth,"Object description has field depth, but that field was not selected for export"
unused,8071,height,"Object description has field height, but that field was not selected for export"
missing,8071,copyright,Object is missing a required field copyright
missing,8071,classification,Object is missing a required field classification
missing,8071,bibliography1,Object is missing a required field bibliography1
unused,6519,depth,"Object description has field depth, but that field was not selected for export"
missing,6519,copyright,Object is missing a required field copyright
unused,6523,depth,"Object description has field depth, but that field was not selected for export"
missing,6523,copyright,Object is missing a required field copyright
missing,6523,bibliography1,Object is missing a required field bibliography1
unused,6618,depth,"Object description has field depth, but that field was not selected for export"
missing,6618,copyright,Object is missing a required field copyright
missing,6618,bibliography1,Object is missing a required field bibliography1
unused,6438,depth,"Object description has field depth, but that field was not selected for export"
missing,6438,copyright,Object is missing a required field copyright
unused,6031,depth,"Object description has field depth, but that field was not selected for export"
missing,6031,copyright,Object is missing a required field copyright
unused,5459,depth,"Object description has field depth, but that field was not selected for export"
missing,5459,copyright,Object is missing a required field copyright
unused,8117,depth,"Object description has field depth, but that field was not selected for export"
missing,8117,copyright,Object is missing a required field copyright
missing,8117,bibliography1,Object is missing a required field bibliography1
unused,5526,creditline,"Object description has field creditline, but that field was not selected for export"
unused,5526,depth,"Object description has field depth, but that field was not selected for export"
unused,5526,audioTourEntries,"Object description has field audioTourEntries, but that field was not selected for export"
missing,5526,copyright,Object is missing a required field copyright
unused,5097,creditline,"Object description has field creditline, but that field was not selected for export"
unused,5097,onview,"Object description has field onview, but that field was not selected for export"
unused,5097,depth,"Object description has field depth, but that field was not selected for export"
missing,5097,copyright,Object is missing a required field copyright
unused,5529,creditline,"Object description has field creditline, but that field was not selected for export"
unused,5529,onview,"Object description has field onview, but that field was not selected for export"
unused,5529,depth,"Object description has field depth, but that field was not selected for export"
missing,5529,copyright,Object is missing a required field copyright
unused,5199,depth,"Object description has field depth, but that field was not selected for export"
missing,5199,copyright,Object is missing a required field copyright
unused,4933,onview,"Object description has field onview, but that field was not selected for export"
unused,4933,width,"Object description has field width, but that field was not selected for export"
unused,4933,height,"Object description has field height, but that field was not selected for export"
missing,4933,copyright,Object is missing a required field copyright
missing,4933,classification,Object is missing a required field classification
missing,4933,bibliography1,Object is missing a required field bibliography1
unused,4941,onview,"Object description has field onview, but that field was not selected for export"
unused,4941,width,"Object description has field width, but that field was not selected for export"
unused,4941,height,"Object description has field height, but that field was not selected for export"
missing,4941,copyright,Object is missing a required field copyright
missing,4941,classification,Object is missing a required field classification
missing,4941,bibliography1,Object is missing a required field bibliography1
unused,6230,depth,"Object description has field depth, but that field was not selected for export"
unused,6230,height,"Object description has field height, but that field was not selected for export"
missing,6230,copyright,Object is missing a required field copyright
missing,6230,classification,Object is missing a required field classification
unused,7144,width,"Object description has field width, but that field was not selected for export"
unused,7144,height,"Object description has field height, but that field was not selected for export"
missing,7144,copyright,Object is missing a required field copyright
missing,7144,classification,Object is missing a required field classification
missing,7144,bibliography1,Object is missing a required field bibliography1
unused,7175,width,"Object description has field width, but that field was not selected for export"
unused,7175,height,"Object description has field height, but that field was not selected for export"
